dataset,video_key,method,fscore,selected_ratio,adaptive_semantic_weight
SumMe,video_9,Fixed-Fusion,0.4892183288409704,0.14745524039428687,0.49675089937643707
SumMe,video_9,Ours-Adaptive,0.4892183288409704,0.14745524039428687,0.49675089937643707
SumMe,video_10,Visual-BiLSTM-Strict,0.31415460642428517,0.14998456948873573,0.5744908683696169
SumMe,video_10,CLIP-only,0.3480409459936464,0.14998456948873573,0.5744908683696169
SumMe,video_10,Fixed-Fusion,0.3355704697986578,0.14977882933854542,0.5744908683696169
SumMe,video_10,Ours-Adaptive,0.3355704697986578,0.14977882933854542,0.5744908683696169
SumMe,video_11,Visual-BiLSTM-Strict,0.6016597510373444,0.14640198511166252,0.5344227331270041
SumMe,video_11,CLIP-only,0.6016597510373444,0.14640198511166252,0.5344227331270041
SumMe,video_11,Fixed-Fusion,0.6016597510373444,0.14640198511166252,0.5344227331270041
SumMe,video_11,Ours-Adaptive,0.6016597510373444,0.14640198511166252,0.5344227331270041
SumMe,video_12,Visual-BiLSTM-Strict,0.4044943820224719,0.12631578947368421,0.5043287048345155
SumMe,video_12,CLIP-only,0.4044943820224719,0.12631578947368421,0.5043287048345155
SumMe,video_12,Fixed-Fusion,0.4044943820224719,0.12631578947368421,0.5043287048345155
SumMe,video_12,Ours-Adaptive,0.4044943820224719,0.12631578947368421,0.5043287048345155
SumMe,video_13,Visual-BiLSTM-Strict,0.291220556745182,0.14810166300596173,0.5247727141811478
SumMe,video_13,CLIP-only,0.31335149863760225,0.14245371823031064,0.5247727141811478
SumMe,video_13,Fixed-Fusion,0.20689655172413796,0.1484154377157201,0.5247727141811478
SumMe,video_13,Ours-Adaptive,0.20689655172413796,0.1484154377157201,0.5247727141811478
SumMe,video_14,Visual-BiLSTM-Strict,0.3214024835646458,0.14930555555555555,0.4384297189694162
SumMe,video_14,CLIP-only,0.45839416058394156,0.14952256944444445,0.4384297189694162
SumMe,video_14,Fixed-Fusion,0.37636761487964987,0.14973958333333334,0.4384297189694162
SumMe,video_14,Ours-Adaptive,0.3214024835646458,0.14930555555555555,0.4384297189694162
SumMe,video_15,Visual-BiLSTM-Strict,0.4482153306026917,0.14944225721784776,0.7470348838728404
SumMe,video_15,CLIP-only,0.6497041420118344,0.1463254593175853,0.7470348838728404
SumMe,video_15,Fixed-Fusion,0.5524926686217009,0.14878608923884515,0.7470348838728404
